boat,dtf,long,lat,time
357,3862994,-15.57896,27.60818,1478457900
357,3862994,-15.60083,27.58529,1478458806
357,3862994,-15.6227,27.56288,1478459700
357,3862994,-15.64464,27.54079,1478460600
357,3862994,-15.66675,27.51874,1478461500
357,3862994,-15.68827,27.49709,1478462400
357,3862994,-15.71023,27.47532,1478463306
357,3862994,-15.7326,27.45387,1478464200
357,3862994,-15.75468,27.43194,1478465100
357,3862994,-15.77632,27.40982,1478466000
357,3862994,-15.79774,27.38769,1478466900
357,3862994,-15.8191,27.36564,1478467800
357,3862994,-15.84026,27.34309,1478468700
357,3862994,-15.86103,27.32033,1478469600
357,3862994,-16.02254,27.13865,1478476806
357,3862994,-16.33488,26.79722,1478491205
357,3862994,-16.67813,26.48628,1478505605
357,3862994,-17.02698,26.16573,1478520000
357,3862994,-17.28125,25.90683,1478534405
357,3862994,-17.55718,25.64987,1478548800
357,3862994,-17.75355,25.29965,1478563205
357,3862994,-18.07457,25.00277,1478577605
357,3862994,-18.46524,24.7641,1478592005
357,3862994,-18.80461,24.49044,1478606406
357,3862994,-19.08208,24.19865,1478620805
357,3862994,-19.41323,23.88518,1478635206
357,3862994,-19.75878,23.53251,1478649605
357,3862994,-20.05945,23.1455,1478664006
357,3862994,-20.40809,22.7934,1478678405
357,3862994,-20.7644,22.44602,1478692809
357,3862994,-21.09311,22.11074,1478707205
357,3862994,-21.38712,21.81459,1478721606
357,3862994,-21.68293,21.49774,1478736005
357,3862994,-22.02471,21.1333,1478750405
357,3862994,-22.33631,20.83324,1478764805
357,3862994,-22.58301,20.45667,1478779203
357,3862994,-22.78307,20.05338,1478793606
357,3862994,-22.95404,19.65203,1478808031
357,3862994,-23.06314,19.20732,1478822400
357,3862994,-23.13993,18.77779,1478836835
357,3862994,-23.29347,18.3671,1478851206
357,3862994,-23.60079,18.09181,1478865606
357,3862994,-23.94056,17.8116,1478880005
357,3862994,-24.27612,17.52841,1478894406
357,3862994,-24.62355,17.28535,1478908805
357,3862994,-24.95284,17.00145,1478923200
357,3862994,-24.99211,16.88576,1478937605
357,3862994,-24.99107,16.88663,1478952005
357,3862994,-24.99111,16.88663,1478966405
357,3862994,-24.99105,16.88662,1478980805
357,3862994,-24.99103,16.88664,1478995205
357,3862994,-24.99111,16.88662,1479009600
357,3862994,-24.9911,16.88665,1479024005
357,3862994,-24.99104,16.88664,1479038406
357,3862994,-24.99104,16.88664,1479052805
357,3862994,-24.99106,16.88663,1479067205
357,3862994,-24.99108,16.88664,1479081605
357,3862994,-24.99108,16.88662,1479096006
357,3862994,-24.9911,16.88662,1479110405
357,3862994,-24.99106,16.88665,1479124806
357,3862994,-24.99107,16.88661,1479139205
357,3862994,-24.99108,16.88661,1479153605
357,3862994,-24.99105,16.88664,1479168006
357,3862994,-24.99097,16.88658,1479182400
357,3862994,-24.99107,16.88664,1479196805
357,3862994,-24.99104,16.88661,1479211200
357,3862994,-24.99107,16.88663,1479225605
357,3862994,-24.99107,16.88663,1479240005
357,3862994,-24.99106,16.88662,1479254405
357,3862994,-24.99105,16.88663,1479268806
357,3862994,-24.99107,16.88663,1479283206
357,3862994,-24.9911,16.88662,1479297606
357,3839639,-25.18067,16.86349,1479312005
357,3810685,-25.45364,16.77902,1479326405
357,3785611,-25.69054,16.65454,1479340800
357,3762661,-25.90605,16.66241,1479355205
357,3736754,-26.14969,16.63414,1479369605
357,3706435,-26.43491,16.58487,1479384000
357,3671714,-26.76121,16.5543,1479398405
357,3631238,-27.14123,16.55407,1479412806
357,3593210,-27.49802,16.60823,1479427203
357,3560062,-27.80924,16.67534,1479441606
357,3520986,-28.17661,16.76205,1479456005
357,3478438,-28.57668,16.7876,1479470405
357,3438491,-28.95241,16.81003,1479484806
357,3400909,-29.30679,16.88947,1479499205
357,3377058,-29.53238,16.96289,1479513605
357,3358864,-29.70097,16.80559,1479528000
357,3328959,-29.97961,16.6053,1479542405
357,3286546,-30.37743,16.55941,1479556806
357,3244418,-30.77281,16.54492,1479571206
357,3205771,-31.13443,16.44523,1479585605
357,3167176,-31.49597,16.39094,1479600006
357,3133356,-31.81412,16.45609,1479614406
357,3105313,-32.0794,16.57198,1479628806
357,3067360,-32.43495,16.53126,1479643206
357,3019465,-32.88277,16.4453,1479657605
357,2975397,-33.29824,16.52295,1479672024
357,2939774,-33.63169,16.48406,1479686406
357,2900943,-33.99312,16.36523,1479700805
357,2859473,-34.38395,16.42878,1479715206
357,2826919,-34.69102,16.47654,1479729606
357,2814486,-34.80771,16.47524,1479744005
357,2792417,-35.01736,16.54316,1479758405
357,2756077,-35.35556,16.45842,1479772800
357,2754459,-35.37153,16.47978,1479787205
357,2749438,-35.41846,16.47393,1479801605
357,2737378,-35.53222,16.48724,1479816000
357,2729946,-35.60166,16.47807,1479830405
357,2718247,-35.71101,16.46484,1479844805
357,2686445,-36.00686,16.39331,1479859205
357,2683196,-36.03615,16.36086,1479873606
357,2682947,-36.03779,16.34152,1479888005
357,2682789,-36.03882,16.32889,1479902406
357,2650999,-36.33422,16.2474,1479916805
357,2612956,-36.68754,16.14478,1479931206
357,2572265,-37.0675,16.10121,1479945605
357,2530630,-37.45656,16.06814,1479960006
357,2489673,-37.8399,16.05538,1479974400
357,2470261,-38.02316,16.09213,1479988835
357,2455018,-38.16653,16.10493,1480003206
357,2439494,-38.31223,16.10939,1480017605
357,2425814,-38.44057,16.11168,1480032000
357,2407371,-38.61312,16.10355,1480046405
357,2385426,-38.81736,16.06896,1480060800
357,2356706,-39.08428,16.01592,1480075223
357,2333890,-39.29704,15.99168,1480089605
357,2306970,-39.54877,15.98028,1480104005
357,2262975,-39.96179,15.99741,1480118400
357,2224372,-40.32229,15.97114,1480132890
357,2187129,-40.67013,15.94797,1480147200
357,2143745,-41.0759,15.93311,1480161629
357,2112168,-41.37235,15.9431,1480176005
357,2108644,-41.40773,15.98507,1480190405
357,2075109,-41.71502,15.85809,1480204830
357,2041632,-42.02294,15.7487,1480219206
357,2003725,-42.37653,15.72375,1480233600
357,1976225,-42.63183,15.68231,1480248036
357,1957065,-42.8084,15.6272,1480262400
357,1951507,-42.85837,15.58437,1480276805
357,1925647,-43.09783,15.53273,1480291205
